year,Time Code,Country Name,ccode,corruption,regulatory
2022,YR2022,"Macao SAR, China",MAC,0.868675053119659,1.82458806037903
2022,YR2022,Madagascar,MDG,-1.00865089893341,-0.815499842166901
2022,YR2022,Malawi,MWI,-0.610480070114136,-0.739736258983612
2022,YR2022,Malaysia,MYS,0.249183893203735,0.644006609916687
2022,YR2022,Maldives,MDV,-0.401500523090363,-0.657294631004334
2022,YR2022,Mali,MLI,-0.879449665546417,-0.634121775627136
2022,YR2022,Malta,MLT,0.238677814602852,0.674093782901764
2022,YR2022,Marshall Islands,MHL,0.385005086660385,-0.394462466239929
2022,YR2022,Martinique,MTQ,0.632126808166504,0.972116887569427
2022,YR2022,Mauritania,MRT,-0.798844754695892,-1.06221723556519
2022,YR2022,Mauritius,MUS,0.412719398736954,1.16610610485077
2022,YR2022,Mexico,MEX,-1.01186621189117,-0.148309499025345
2022,YR2022,"Micronesia, Fed. Sts.",FSM,0.484119057655334,-0.561271905899048
2022,YR2022,Moldova,MDA,-0.34193229675293,0.101790711283684
2022,YR2022,Monaco,MCO,1.27020359039307,1.39833402633667
2022,YR2022,Mongolia,MNG,-0.560807108879089,-0.27089050412178
2022,YR2022,Montenegro,MNE,-0.11826478689909,0.543230414390564
2022,YR2022,Morocco,MAR,-0.357442885637283,-0.0868896543979645
2022,YR2022,Mozambique,MOZ,-0.836388111114502,-0.726218461990356
2022,YR2022,Myanmar,MMR,-1.15162312984467,-1.23508405685425
2022,YR2022,Namibia,NAM,0.215328231453896,-0.0150013873353601
2022,YR2022,Nauru,NRU,0.601521968841553,0.0192454010248184
2022,YR2022,Nepal,NPL,-0.532641351222992,-0.650234937667847
2022,YR2022,Netherlands,NLD,1.91718029975891,1.71227204799652
2022,YR2022,Netherlands Antilles,ANT,..,..
2022,YR2022,New Zealand,NZL,2.16333413124084,1.86519300937653
2022,YR2022,Nicaragua,NIC,-1.28731179237366,-0.91473376750946
2022,YR2022,Niger,NER,-0.585803985595703,-0.72080385684967
2022,YR2022,Nigeria,NGA,-1.10103046894073,-1.15594470500946
2022,YR2022,Niue,NIU,-0.183730348944664,0.130963504314423
2022,YR2022,North Macedonia,MKD,-0.323431134223938,0.452958881855011
2022,YR2022,Norway,NOR,2.0677604675293,1.5161395072937
2022,YR2022,Oman,OMN,0.0523995123803616,0.432644993066788
